path,folder_path,size_gb,parsed_title,parsed_year,imdb_id,title,year,imdb_rating,imdb_votes,genre,runtime,verdict,reason
\\TOWER\rootshare\Movies\10 Cloverfield Lane (2016)\10 Cloverfield Lane (2016) Bluray-720p.mkv,\\TOWER\rootshare\Movies\10 Cloverfield Lane (2016),4.23,10 Cloverfield Lane,2016,tt1179933,10 Cloverfield Lane,2016,7.2,378714,"Drama, Horror, Sci-Fi",103,KEEP,ok
\\TOWER\rootshare\Movies\12 Angry Men (1957)\12 Angry Men (1957) Bluray-720p.mkv,\\TOWER\rootshare\Movies\12 Angry Men (1957),1.57,12 Angry Men,1957,tt0050083,12 Angry Men,1957,9.0,974200,"Crime, Drama",96,KEEP,ok
\\TOWER\rootshare\Movies\1917 (2019)\1917 (2019) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\1917 (2019),1.84,1917,2019,tt8579674,1917,2019,8.2,755263,"Action, Drama, War",119,KEEP,ok
\\TOWER\rootshare\Movies\2001 A Space Odyssey (1968)\2001 A Space Odyssey (1968) Bluray-720p.mkv,\\TOWER\rootshare\Movies\2001 A Space Odyssey (1968),5.71,2001 A Space Odyssey,1968,tt0062622,2001: A Space Odyssey,1968,8.3,772787,"Adventure, Sci-Fi",149,KEEP,ok
\\TOWER\rootshare\Movies\A Clockwork Orange (1971)\A Clockwork Orange (1971) Bluray-720p Proper REAL.mkv,\\TOWER\rootshare\Movies\A Clockwork Orange (1971),6.17,A Clockwork Orange,1971,tt0066921,A Clockwork Orange,1971,8.2,930482,"Crime, Sci-Fi",136,KEEP,ok
\\TOWER\rootshare\Movies\A Few Good Men (1992)\A Few Good Men (1992) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\A Few Good Men (1992),4.0,A Few Good Men,1992,tt0104257,A Few Good Men,1992,7.7,314572,"Drama, Thriller",138,KEEP,ok
\\TOWER\rootshare\Movies\A Haunting in Venice (2023)\A Haunting in Venice (2023) Remux-1080p.mkv,\\TOWER\rootshare\Movies\A Haunting in Venice (2023),15.8,A Haunting in Venice,2023,tt22687790,A Haunting in Venice,2023,6.5,138856,"Crime, Drama, Horror",103,REMOVE,rating 6.5 < 7.0
\\TOWER\rootshare\Movies\A.I. Artificial Intelligence (2001)\A.I. Artificial Intelligence (2001) Bluray-720p.mkv,\\TOWER\rootshare\Movies\A.I. Artificial Intelligence (2001),7.12,A I Artificial Intelligence,2001,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\Aladdin (1992)\Aladdin (1992) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\Aladdin (1992),1.41,Aladdin,1992,tt0103639,Aladdin,1992,8.0,495493,"Animation, Adventure, Comedy",90,KEEP,ok
\\TOWER\rootshare\Movies\Alien (1979)\Alien (1979) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Alien (1979),3.95,Alien,1979,tt0078748,Alien,1979,8.5,1049933,"Horror, Sci-Fi",117,KEEP,ok
\\TOWER\rootshare\Movies\Alien Romulus (2024)\Alien Romulus (2024) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Alien Romulus (2024),5.07,Alien Romulus,2024,tt18412256,Alien: Romulus,2024,7.1,280054,"Horror, Sci-Fi, Thriller",119,KEEP,ok
\\TOWER\rootshare\Movies\Aliens (1986)\Aliens (1986) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Aliens (1986),5.53,Aliens,1986,tt0090605,Aliens,1986,8.4,831403,"Action, Adventure, Horror",137,KEEP,ok
\\TOWER\rootshare\Movies\Alien³ (1992)\Aliens (1986) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Alien³ (1992),7.62,Alien³,1992,tt0103644,Alien³,1992,6.4,349847,"Action, Horror, Sci-Fi",114,REMOVE,rating 6.4 < 7.0
\\TOWER\rootshare\Movies\All About Eve (1950)\All About Eve (1950) Remux-1080p.mkv,\\TOWER\rootshare\Movies\All About Eve (1950),35.11,All About Eve,1950,tt0042192,All About Eve,1950,8.2,147735,Drama,138,KEEP,ok
\\TOWER\rootshare\Movies\All Quiet on the Western Front (2022)\All Quiet on the Western Front (2022) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\All Quiet on the Western Front (2022),5.46,All Quiet on the Western Front,2022,tt1016150,All Quiet on the Western Front,2022,7.8,304290,"Drama, History, War",148,KEEP,ok
\\TOWER\rootshare\Movies\All Star Superman (2011)\All Star Superman (2011) Bluray-720p.mkv,\\TOWER\rootshare\Movies\All Star Superman (2011),2.06,All Star Superman,2011,tt1699114,All-Star Superman,2011,6.9,14416,"Animation, Action, Sci-Fi",76,REMOVE,rating 6.9 < 7.0
\\TOWER\rootshare\Movies\American Beauty (1999)\American Beauty (1999) Bluray-720p.mkv,\\TOWER\rootshare\Movies\American Beauty (1999),1.72,American Beauty,1999,tt0169547,American Beauty,1999,8.3,1272515,Drama,122,KEEP,ok
\\TOWER\rootshare\Movies\American Made (2017)\American Made (2017) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\American Made (2017),5.08,American Made,2017,tt3532216,American Made,2017,7.1,229534,"Action, Comedy, Crime",115,KEEP,ok
\\TOWER\rootshare\Movies\Amélie (2001)\Amélie (2001) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Amélie (2001),2.98,Amélie,2001,tt0211915,Amélie,2001,8.3,834716,"Comedy, Romance",122,KEEP,ok
\\TOWER\rootshare\Movies\Anatomy of a Fall (2023)\Anatomy of a Fall (2023) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Anatomy of a Fall (2023),4.15,Anatomy of a Fall,2023,tt17009710,Anatomy of a Fall,2023,7.6,205092,"Crime, Drama, Mystery",151,KEEP,ok
\\TOWER\rootshare\Movies\Apocalypse Now (1979)\Apocalypse Now (1979) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Apocalypse Now (1979),4.9,Apocalypse Now,1979,tt0078788,Apocalypse Now,1979,8.4,765157,"Drama, Mystery, War",147,KEEP,ok
\\TOWER\rootshare\Movies\Avatar (2009)\Avatar (2009) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Avatar (2009),10.31,Avatar,2009,tt0499549,Avatar,2009,7.9,1468320,"Action, Adventure, Fantasy",162,KEEP,ok
\\TOWER\rootshare\Movies\Avatar The Way of Water (2022)\Avatar The Way of Water (2022) WEBRip-1080p.mkv,\\TOWER\rootshare\Movies\Avatar The Way of Water (2022),2.7,Avatar The Way of Water,2022,tt1630029,Avatar: The Way of Water,2022,7.5,601100,"Animation, Action, Adventure",192,KEEP,ok
\\TOWER\rootshare\Movies\Avengers Endgame (2019)\Avengers Endgame (2019) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\Avengers Endgame (2019),6.75,Avengers Endgame,2019,tt4154796,Avengers: Endgame,2019,8.4,1414421,"Action, Adventure, Sci-Fi",181,KEEP,ok
\\TOWER\rootshare\Movies\Avengers Infinity War (2018)\Avengers Infinity War (2018) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\Avengers Infinity War (2018),3.3,Avengers Infinity War,2018,tt4154756,Avengers: Infinity War,2018,8.4,1353948,"Action, Adventure, Sci-Fi",149,KEEP,ok
\\TOWER\rootshare\Movies\Back to the Future (1985)\Back to the Future (1985) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Back to the Future (1985),5.26,Back to the Future,1985,tt0088763,Back to the Future,1985,8.5,1436086,"Adventure, Comedy, Sci-Fi",116,KEEP,ok
\\TOWER\rootshare\Movies\Back to the Future Part II (1989)\Back to the Future Part II (1989) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Back to the Future Part II (1989),3.36,Back to the Future,1989,tt0096874,Back to the Future Part II,1989,7.8,617198,"Adventure, Comedy, Sci-Fi",108,KEEP,ok
\\TOWER\rootshare\Movies\Back to the Future Part III (1990)\Back to the Future Part III (1990) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Back to the Future Part III (1990),6.08,Back to the Future,1990,tt0099088,Back to the Future Part III,1990,7.5,516119,"Adventure, Comedy, Sci-Fi",118,KEEP,ok
\\TOWER\rootshare\Movies\Barbie (2023)\Barbie (2023) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Barbie (2023),3.77,Barbie,2023,tt1517268,Barbie,2023,6.8,651649,"Adventure, Comedy, Fantasy",114,REMOVE,rating 6.8 < 7.0
\\TOWER\rootshare\Movies\Barton Fink (1991)\Barton Fink (1991) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Barton Fink (1991),6.23,Barton Fink,1991,tt0101410,Barton Fink,1991,7.6,133081,"Comedy, Drama, Thriller",116,KEEP,ok
\\TOWER\rootshare\Movies\Batman (1989)\Batman (1989) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Batman (1989),4.48,Batman,1989,tt0096895,Batman,1989,7.5,429189,"Action, Adventure",126,KEEP,ok
\\TOWER\rootshare\Movies\Batman Assault on Arkham (2014)\Batman Assault on Arkham (2014) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\Batman Assault on Arkham (2014),1.38,Batman Assault on Arkham,2014,tt3139086,Batman: Assault on Arkham,2014,7.5,31970,"Animation, Action, Adventure, Crime, Sci-Fi, Thriller",76,KEEP,ok
\\TOWER\rootshare\Movies\Batman Begins (2005)\Batman Begins (2005) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Batman Begins (2005),15.33,Batman Begins,2005,tt0372784,Batman Begins,2005,8.2,1688565,"Action, Crime, Drama",140,KEEP,ok
\\TOWER\rootshare\Movies\Batman Gotham by Gaslight (2018)\Batman Gotham by Gaslight (2018) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Batman Gotham by Gaslight (2018),3.75,Batman Gotham by Gaslight,2018,tt7167630,Batman: Gotham by Gaslight,2018,6.7,19986,"Animation, Action, Adventure",78,REMOVE,rating 6.7 < 7.0
\\TOWER\rootshare\Movies\Batman Gotham Knight (2008)\Batman Gotham Knight (2008) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Batman Gotham Knight (2008),3.61,Batman Gotham Knight,2008,tt1117563,Batman: Gotham Knight,2008,6.7,26890,"Animation, Action, Crime, Sci-Fi, Thriller",75,REMOVE,rating 6.7 < 7.0
"\\TOWER\rootshare\Movies\Batman The Long Halloween, Part One (2021)\Batman The Long Halloween, Part One (2021) Bluray-1080p.mkv","\\TOWER\rootshare\Movies\Batman The Long Halloween, Part One (2021)",4.36,Batman The Long Halloween,2021,tt21445686,Batman: The Long Halloween,2021,7.5,3135,"Animation, Action, Crime",168,KEEP,ok
"\\TOWER\rootshare\Movies\Batman The Long Halloween, Part Two (2021)\Batman The Long Halloween, Part Two (2021) Bluray-720p.mkv","\\TOWER\rootshare\Movies\Batman The Long Halloween, Part Two (2021)",1.46,Batman The Long Halloween,2021,tt21445686,Batman: The Long Halloween,2021,7.5,3135,"Animation, Action, Crime",168,KEEP,ok
\\TOWER\rootshare\Movies\Batman Year One (2011)\Batman Year One (2011) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Batman Year One (2011),1.01,Batman Year One,2011,tt1672723,Batman: Year One,2011,7.4,32117,"Animation, Action, Crime, Drama, Thriller",64,KEEP,ok
\\TOWER\rootshare\Movies\Beauty and the Beast (1991)\Beauty and the Beast (1991) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Beauty and the Beast (1991),3.92,Beauty and the Beast,1991,tt0101414,Beauty and the Beast,1991,8.0,498015,"Animation, Family, Fantasy",84,KEEP,ok
\\TOWER\rootshare\Movies\Beetlejuice (1988)\Beetlejuice (1988) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Beetlejuice (1988),3.45,Beetlejuice,1988,tt0094721,Beetlejuice,1988,7.4,413624,"Comedy, Fantasy",92,KEEP,ok
\\TOWER\rootshare\Movies\Best in Show (2000)\Best in Show (2000) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Best in Show (2000),4.19,Best in Show,2000,tt0218839,Best in Show,2000,7.5,71301,Comedy,90,KEEP,ok
\\TOWER\rootshare\Movies\Better Man (2024)\Better Man (2024) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Better Man (2024),8.53,Better Man,2024,tt14260836,Better Man,2024,7.5,44171,"Biography, Fantasy, Music",135,KEEP,ok
\\TOWER\rootshare\Movies\Big (1988)\Big (1988) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Big (1988),1.21,Big,1988,tt0094737,Big,1988,7.3,255283,"Comedy, Drama, Fantasy",104,KEEP,ok
\\TOWER\rootshare\Movies\Bill & Ted's Excellent Adventure (1989)\Bill & Ted's Excellent Adventure (1989) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\Bill & Ted's Excellent Adventure (1989),1.18,Bill & Ted's Excellent Adventure,1989,tt0096928,Bill & Ted's Excellent Adventure,1989,6.9,146689,"Adventure, Comedy, Music",90,REMOVE,rating 6.9 < 7.0
\\TOWER\rootshare\Movies\BlackBerry (2023)\BlackBerry (2023) Bluray-720p.mkv,\\TOWER\rootshare\Movies\BlackBerry (2023),5.9,BlackBerry,2023,tt21867434,BlackBerry,2023,7.3,66204,"Biography, Comedy, Drama",120,KEEP,ok
\\TOWER\rootshare\Movies\Blade Runner (1982)\Blade Runner (1982) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Blade Runner (1982),2.4,Blade Runner,1982,tt0083658,Blade Runner,1982,8.1,871614,"Action, Drama, Sci-Fi",117,KEEP,ok
\\TOWER\rootshare\Movies\Blade Runner 2049 (2017)\Blade Runner 2049 (2017) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Blade Runner 2049 (2017),2.13,Blade Runner 2049,2017,tt1856101,Blade Runner 2049,2017,8.0,737828,"Action, Drama, Mystery",164,KEEP,ok
\\TOWER\rootshare\Movies\Bullet Train (2022)\Bullet Train (2022) Bluray-720p Proper REAL.mkv,\\TOWER\rootshare\Movies\Bullet Train (2022),4.14,Bullet Train,2022,tt12593682,Bullet Train,2022,7.3,519374,"Action, Comedy, Thriller",127,KEEP,ok
\\TOWER\rootshare\Movies\Captain America Civil War (2016)\Captain America Civil War (2016) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Captain America Civil War (2016),5.34,Captain America Civil War,2016,tt3498820,Captain America: Civil War,2016,7.8,917200,"Action, Sci-Fi",147,KEEP,ok
\\TOWER\rootshare\Movies\Cars (2006)\Cars (2006) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Cars (2006),4.23,Cars,2006,tt0317219,Cars,2006,7.3,522371,"Animation, Adventure, Comedy",116,KEEP,ok
\\TOWER\rootshare\Movies\Casablanca (1943)\Casablanca (1943) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Casablanca (1943),4.76,Casablanca,1943,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\Casino (1995)\Casino (1995) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Casino (1995),9.47,Casino,1995,tt0112641,Casino,1995,8.2,609791,"Crime, Drama",178,KEEP,ok
\\TOWER\rootshare\Movies\Casino Royale (2006)\Casino Royale (2006) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Casino Royale (2006),6.39,Casino Royale,2006,tt0381061,Casino Royale,2006,8.0,733930,"Action, Adventure, Thriller",144,KEEP,ok
\\TOWER\rootshare\Movies\Cast Away (2000)\Cast Away (2000) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Cast Away (2000),5.25,Cast Away,2000,tt0162222,Cast Away,2000,7.8,676631,"Adventure, Drama, Romance",143,KEEP,ok
\\TOWER\rootshare\Movies\Castle in the Sky (1986)\Castle in the Sky (1986) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Castle in the Sky (1986),2.83,Castle in the Sky,1986,tt0092067,Castle in the Sky,1986,8.0,196825,"Animation, Adventure, Family",124,KEEP,ok
\\TOWER\rootshare\Movies\Catch Me If You Can (2002)\Catch Me If You Can (2002) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Catch Me If You Can (2002),3.21,Catch Me If You Can,2002,tt0264464,Catch Me If You Can,2002,8.1,1221144,"Biography, Crime, Drama",141,KEEP,ok
\\TOWER\rootshare\Movies\Cinderella (1950)\Cinderella (1950) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Cinderella (1950),0.96,Cinderella,1950,tt0042332,Cinderella,1950,7.3,184195,"Animation, Family, Fantasy",74,KEEP,ok
\\TOWER\rootshare\Movies\Citizen Kane (1941)\Citizen Kane (1941) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Citizen Kane (1941),3.31,Citizen Kane,1941,tt0033467,Citizen Kane,1941,8.2,488798,"Drama, Mystery",119,KEEP,ok
\\TOWER\rootshare\Movies\Cloverfield (2008)\Cloverfield (2008) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Cloverfield (2008),8.93,Cloverfield,2008,tt1060277,Cloverfield,2008,7.0,438276,"Action, Horror, Sci-Fi",85,KEEP,ok
\\TOWER\rootshare\Movies\Collateral (2004)\Collateral (2004) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Collateral (2004),6.06,Collateral,2004,tt0369339,Collateral,2004,7.5,462291,"Action, Crime, Drama",120,KEEP,ok
\\TOWER\rootshare\Movies\Conclave (2024)\Conclave (2024) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Conclave (2024),3.72,Conclave,2024,tt20215234,Conclave,2024,7.4,250327,"Drama, Thriller",120,KEEP,ok
\\TOWER\rootshare\Movies\Contact (1997)\Contact (1997) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\Contact (1997),6.78,Contact,1997,tt0118884,Contact,1997,7.5,309188,"Drama, Mystery, Sci-Fi",150,KEEP,ok
\\TOWER\rootshare\Movies\Cool Runnings (1993)\Cool Runnings (1993) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Cool Runnings (1993),3.28,Cool Runnings,1993,tt0106611,Cool Runnings,1993,7.0,119626,"Adventure, Comedy, Family",98,KEEP,ok
"\\TOWER\rootshare\Movies\Crazy, Stupid, Love. (2011)\Crazy, Stupid, Love. (2011) Bluray-720p.mkv","\\TOWER\rootshare\Movies\Crazy, Stupid, Love. (2011)",4.57,"Crazy, Stupid, Love",2011,tt1570728,"Crazy, Stupid, Love.",2011,7.4,601291,"Comedy, Drama, Romance",118,KEEP,ok
\\TOWER\rootshare\Movies\Cruella (2021)\Cruella (2021) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Cruella (2021),5.22,Cruella,2021,tt3228774,Cruella,2021,7.3,286888,"Adventure, Comedy, Crime",134,KEEP,ok
\\TOWER\rootshare\Movies\Darkest Hour (2017)\Darkest Hour (2017) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Darkest Hour (2017),2.23,Darkest Hour,2017,tt4555426,Darkest Hour,2017,7.4,236263,"Biography, Drama, History",125,KEEP,ok
\\TOWER\rootshare\Movies\Dead Poets Society (1989)\Dead Poets Society (1989) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Dead Poets Society (1989),2.31,Dead Poets Society,1989,tt0097165,Dead Poets Society,1989,8.1,633673,"Comedy, Drama",128,KEEP,ok
\\TOWER\rootshare\Movies\Death on the Nile (2022)\Death on the Nile (2022) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Death on the Nile (2022),4.04,Death on the Nile,2022,tt7657566,Death on the Nile,2022,6.3,206844,"Crime, Drama, Mystery",127,REMOVE,rating 6.3 < 7.0
\\TOWER\rootshare\Movies\Despicable Me (2010)\Despicable Me (2010) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Despicable Me (2010),2.89,Despicable Me,2010,tt1323594,Despicable Me,2010,7.6,628264,"Animation, Adventure, Comedy",95,KEEP,ok
\\TOWER\rootshare\Movies\Dial M for Murder (1954)\Dial M for Murder (1954) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Dial M for Murder (1954),1.34,Dial M for Murder,1954,tt0046912,Dial M for Murder,1954,8.2,202688,"Crime, Drama, Mystery",105,KEEP,ok
\\TOWER\rootshare\Movies\Die Hard (1988)\Die Hard (1988) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Die Hard (1988),1.17,Die Hard,1988,tt0095016,Die Hard,1988,8.2,1021784,"Action, Thriller",132,KEEP,ok
\\TOWER\rootshare\Movies\Die Hard With a Vengeance (1995)\Die Hard With a Vengeance (1995) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Die Hard With a Vengeance (1995),11.33,Die Hard With a Vengeance,1995,tt0112864,Die Hard with a Vengeance,1995,7.6,428742,"Action, Adventure, Thriller",128,KEEP,ok
\\TOWER\rootshare\Movies\Django Unchained (2012)\Django Unchained (2012) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Django Unchained (2012),3.54,Django Unchained,2012,tt1853728,Django Unchained,2012,8.5,1850031,"Drama, Western",165,KEEP,ok
\\TOWER\rootshare\Movies\Dr. No (1962)\Dr. No (1962) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\Dr. No (1962),5.22,Dr No,1962,tt10985716,Outtakes from James Bond 'Dr No',1962,,,"Documentary, Short",13,REMOVE,no rating/votes
\\TOWER\rootshare\Movies\Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb (1964)\Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb (1964) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb (1964),4.39,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb,1964,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,547207,"Comedy, War",95,KEEP,ok
\\TOWER\rootshare\Movies\Dumbo (1941)\Dumbo (1941) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Dumbo (1941),1.42,Dumbo,1941,tt0033563,Dumbo,1941,7.2,149916,"Animation, Adventure, Drama",64,KEEP,ok
\\TOWER\rootshare\Movies\Dune (2021)\Dune (2021) WEBDL-2160p.mkv,\\TOWER\rootshare\Movies\Dune (2021),20.32,Dune,2021,tt1160419,Dune: Part One,2021,8.0,1020797,"Action, Adventure, Drama",155,KEEP,ok
\\TOWER\rootshare\Movies\Dune Part Two (2024)\Dune Part Two (2024) Remux-1080p.mkv,\\TOWER\rootshare\Movies\Dune Part Two (2024),19.85,Dune,2024,tt15239678,Dune: Part Two,2024,8.4,713701,"Action, Adventure, Drama",166,KEEP,ok
\\TOWER\rootshare\Movies\E.T. the Extra-Terrestrial (1982)\E.T. the Extra-Terrestrial (1982) Bluray-720p.mkv,\\TOWER\rootshare\Movies\E.T. the Extra-Terrestrial (1982),3.99,E T the Extra-Terrestrial,1982,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\Elf (2003)\Elf (2003) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Elf (2003),3.79,Elf,2003,tt0319343,Elf,2003,7.1,344358,"Adventure, Comedy, Family",97,KEEP,ok
\\TOWER\rootshare\Movies\Elvis (2022)\Elvis (2022) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Elvis (2022),4.99,Elvis,2022,tt3704428,Elvis,2022,7.3,255583,"Biography, Drama, Music",159,KEEP,ok
\\TOWER\rootshare\Movies\Eternal Sunshine of the Spotless Mind (2004)\Eternal Sunshine of the Spotless Mind (2004) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Eternal Sunshine of the Spotless Mind (2004),5.13,Eternal Sunshine of the Spotless Mind,2004,tt0338013,Eternal Sunshine of the Spotless Mind,2004,8.3,1166070,"Drama, Romance, Sci-Fi",108,KEEP,ok
\\TOWER\rootshare\Movies\Everything Everywhere All at Once (2022)\Everything Everywhere All at Once (2022) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Everything Everywhere All at Once (2022),14.8,Everything Everywhere All at Once,2022,tt6710474,Everything Everywhere All at Once,2022,7.7,616795,"Action, Adventure, Comedy",139,KEEP,ok
\\TOWER\rootshare\Movies\Ex Machina (2015)\Ex Machina (2015) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Ex Machina (2015),3.99,Ex Machina,2015,tt5262674,Ex Machina: Behind the Scenes Vignettes,2015,7.1,33,"Documentary, Short",29,KEEP,ok
\\TOWER\rootshare\Movies\F1 (2025)\F1 (2025) WEBDL-720p.mkv,\\TOWER\rootshare\Movies\F1 (2025),4.03,F1 (2025) WEBDL-720p,2025,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\Fantastic Beasts and Where to Find Them (2016)\Fantastic Beasts and Where to Find Them (2016) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Fantastic Beasts and Where to Find Them (2016),5.36,Fantastic Beasts and Where to Find Them,2016,tt3183660,Fantastic Beasts and Where to Find Them,2016,7.2,535192,"Adventure, Family, Fantasy",132,KEEP,ok
\\TOWER\rootshare\Movies\Fight Club (1999)\Fight Club (1999) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Fight Club (1999),2.69,Fight Club,1999,tt0137523,Fight Club,1999,8.8,2567948,"Crime, Drama, Thriller",139,KEEP,ok
\\TOWER\rootshare\Movies\Finding Dory (2016)\Finding Dory (2016) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Finding Dory (2016),3.5,Finding Dory,2016,tt2277860,Finding Dory,2016,7.2,328640,"Animation, Adventure, Comedy",97,KEEP,ok
\\TOWER\rootshare\Movies\Finding Nemo (2003)\Finding Nemo (2003) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Finding Nemo (2003),1.33,Finding Nemo,2003,tt0266543,Finding Nemo,2003,8.2,1196544,"Animation, Adventure, Comedy",100,KEEP,ok
\\TOWER\rootshare\Movies\Ford v Ferrari (2019)\Ford v Ferrari (2019) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Ford v Ferrari (2019),1.02,Ford v Ferrari,2019,tt1950186,Ford v Ferrari,2019,8.1,553839,"Action, Biography, Drama",152,KEEP,ok
\\TOWER\rootshare\Movies\Forrest Gump (1994)\Forrest Gump (1994) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Forrest Gump (1994),5.45,Forrest Gump,1994,tt0109830,Forrest Gump,1994,8.8,2467350,"Drama, Romance",142,KEEP,ok
\\TOWER\rootshare\Movies\From Russia with Love (1963)\From Russia with Love (1963) Bluray-720p.mkv,\\TOWER\rootshare\Movies\From Russia with Love (1963),6.55,From Russia with Love,1963,tt0057076,From Russia with Love,1963,7.3,155122,"Action, Adventure, Thriller",115,KEEP,ok
\\TOWER\rootshare\Movies\From Up on Poppy Hill (2011)\From Up on Poppy Hill (2011) Bluray-720p.mkv,\\TOWER\rootshare\Movies\From Up on Poppy Hill (2011),2.05,From Up on Poppy Hill,2011,tt1798188,From Up on Poppy Hill,2011,7.4,58257,"Animation, Comedy, Drama",91,KEEP,ok
\\TOWER\rootshare\Movies\Full Metal Jacket (1987)\Full Metal Jacket (1987) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Full Metal Jacket (1987),5.19,Full Metal Jacket,1987,tt0093058,Full Metal Jacket,1987,8.2,842284,"Drama, War",116,KEEP,ok
\\TOWER\rootshare\Movies\Get Carter (1971)\Get Carter (1971) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Get Carter (1971),3.6,Get Carter,1971,tt0067128,Get Carter,1971,7.3,39340,"Crime, Thriller",112,KEEP,ok
\\TOWER\rootshare\Movies\Ghostbusters (1984)\Ghostbusters (1984) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Ghostbusters (1984),2.1,Ghostbusters,1984,tt0087332,Ghostbusters,1984,7.8,481780,"Action, Comedy, Fantasy",105,KEEP,ok
\\TOWER\rootshare\Movies\Gladiator (2000)\Gladiator (2000) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Gladiator (2000),7.08,Gladiator,2000,tt0172495,Gladiator,2000,8.5,1817617,"Action, Adventure, Drama",155,KEEP,ok
