path,folder_path,size_gb,parsed_title,parsed_year,imdb_id,title,year,imdb_rating,imdb_votes,genre,runtime,verdict,reason
\\TOWER\rootshare\Movies\Teenage Mutant Ninja Turtles Mutant Mayhem (2023)\Teenage Mutant Ninja Turtles Mutant Mayhem (2023) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Teenage Mutant Ninja Turtles Mutant Mayhem (2023),3.52,Teenage Mutant Ninja Turtles Mutant Mayhem,2023,tt8589698,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7.2,76343,"Animation, Action, Adventure",99,KEEP,ok
\\TOWER\rootshare\Movies\Terminator 2 Judgment Day (1991)\Terminator 2 Judgment Day (1991) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Terminator 2 Judgment Day (1991),5.04,Terminator 2 Judgment Day,1991,tt0103064,Terminator 2: Judgment Day,1991,8.6,1276343,"Action, Adventure, Sci-Fi",137,KEEP,ok
\\TOWER\rootshare\Movies\The Apartment (1960)\The Apartment (1960) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Apartment (1960),4.02,The Apartment,1960,tt0053604,The Apartment,1960,8.3,213420,"Comedy, Drama, Romance",125,KEEP,ok
\\TOWER\rootshare\Movies\The Avengers (2012)\The Avengers (2012) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Avengers (2012),7.12,The Avengers,2012,tt0848228,The Avengers,2012,8.0,1540341,"Action, Sci-Fi",143,KEEP,ok
\\TOWER\rootshare\Movies\The Batman (2022)\The Batman (2022) WEBDL-1080p Proper REAL.mkv,\\TOWER\rootshare\Movies\The Batman (2022),5.99,The Batman,2022,tt1877830,The Batman,2022,7.8,913407,"Action, Crime, Drama",176,KEEP,ok
\\TOWER\rootshare\Movies\The Big Lebowski (1998)\The Big Lebowski (1998) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Big Lebowski (1998),4.41,The Big Lebowski,1998,tt0118715,The Big Lebowski,1998,8.1,907700,"Comedy, Crime",117,KEEP,ok
\\TOWER\rootshare\Movies\The Bourne Identity (2002)\The Bourne Identity (2002) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Bourne Identity (2002),5.33,The Bourne Identity,2002,tt0258463,The Bourne Identity,2002,7.8,606363,"Action, Mystery, Thriller",119,KEEP,ok
\\TOWER\rootshare\Movies\The Bourne Supremacy (2004)\The Bourne Supremacy (2004) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Bourne Supremacy (2004),5.18,The Bourne Supremacy,2004,tt0372183,The Bourne Supremacy,2004,7.7,508921,"Action, Mystery, Thriller",108,KEEP,ok
\\TOWER\rootshare\Movies\The Bourne Ultimatum (2007)\The Bourne Ultimatum (2007) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Bourne Ultimatum (2007),5.26,The Bourne Ultimatum,2007,tt0440963,The Bourne Ultimatum,2007,8.0,679041,"Action, Mystery, Thriller",115,KEEP,ok
\\TOWER\rootshare\Movies\The Boy and the Heron (2023)\The Boy and the Heron (2023) WEBRip-720p.mkv,\\TOWER\rootshare\Movies\The Boy and the Heron (2023),0.49,The Boy and the Heron,2023,tt6587046,The Boy and the Heron,2023,7.3,120587,"Animation, Adventure, Drama",124,KEEP,ok
\\TOWER\rootshare\Movies\The Dark Knight (2008)\The Dark Knight (2008) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Dark Knight (2008),3.18,The Dark Knight,2008,tt0468569,The Dark Knight,2008,9.1,3115102,"Action, Crime, Drama",152,KEEP,ok
\\TOWER\rootshare\Movies\The Dark Knight Rises (2012)\The Dark Knight Rises (2012) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Dark Knight Rises (2012),2.27,The Dark Knight Rises,2012,tt1345836,The Dark Knight Rises,2012,8.4,1974176,"Action, Crime, Drama",164,KEEP,ok
\\TOWER\rootshare\Movies\The Day After (1983)\The Day After (1983) DVD.mkv,\\TOWER\rootshare\Movies\The Day After (1983),0.86,The Day After,1983,tt0085404,The Day After,1983,7.0,18955,"Drama, Sci-Fi",127,KEEP,ok
\\TOWER\rootshare\Movies\The Death of Stalin (2017)\The Death of Stalin (2017) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Death of Stalin (2017),6.01,The Death of Stalin,2017,tt4686844,The Death of Stalin,2017,7.3,124462,"Comedy, Drama, History",107,KEEP,ok
\\TOWER\rootshare\Movies\The Deer Hunter (1978)\The Deer Hunter (1978) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Deer Hunter (1978),5.44,The Deer Hunter,1978,tt0077416,The Deer Hunter,1978,8.1,381724,"Drama, War",183,KEEP,ok
\\TOWER\rootshare\Movies\The Departed (2006)\The Departed (2006) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Departed (2006),2.37,The Departed,2006,tt0407887,The Departed,2006,8.5,1538133,"Crime, Drama, Thriller",151,KEEP,ok
\\TOWER\rootshare\Movies\The Empire Strikes Back (1980)\The Empire Strikes Back (1980) Remux-1080p.mkv,\\TOWER\rootshare\Movies\The Empire Strikes Back (1980),24.79,The Empire Strikes Back,1980,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1490112,"Action, Adventure, Fantasy",124,KEEP,ok
\\TOWER\rootshare\Movies\The Exorcist (1973)\The Exorcist (1973) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Exorcist (1973),7.45,The Exorcist,1973,tt0070047,The Exorcist,1973,8.1,493216,Horror,122,KEEP,ok
\\TOWER\rootshare\Movies\The Father (2020)\The Father (2020) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Father (2020),2.79,The Father,2020,tt10272386,The Father,2020,8.2,240885,"Drama, Mystery",97,KEEP,ok
\\TOWER\rootshare\Movies\The Favourite (2018)\The Favourite (2018) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Favourite (2018),5.22,The Favourite,2018,tt5083738,The Favourite,2018,7.5,255117,"Biography, Comedy, Drama",119,KEEP,ok
\\TOWER\rootshare\Movies\The French Connection (1971)\The French Connection (1971) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The French Connection (1971),5.18,The French Connection,1971,tt0067116,The French Connection,1971,7.7,149165,"Action, Crime, Drama",104,KEEP,ok
\\TOWER\rootshare\Movies\The Godfather (1972)\The Godfather (1972) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Godfather (1972),8.2,The Godfather,1972,tt0068646,The Godfather,1972,9.2,2190120,"Crime, Drama",175,KEEP,ok
\\TOWER\rootshare\Movies\The Godfather Part II (1974)\The Godfather Part II (1974) WEBDL-720p.mkv,\\TOWER\rootshare\Movies\The Godfather Part II (1974),1.79,The Godfather,1974,tt0071562,The Godfather Part II,1974,9.0,1478804,"Crime, Drama",202,KEEP,ok
"\\TOWER\rootshare\Movies\The Good, the Bad and the Ugly (1966)\The Good, the Bad and the Ugly (1966) Bluray-720p.mkv","\\TOWER\rootshare\Movies\The Good, the Bad and the Ugly (1966)",7.09,"The Good, the Bad and the Ugly",1966,tt0060196,"The Good, the Bad and the Ugly",1966,8.8,880263,"Adventure, Drama, Western",178,KEEP,ok
\\TOWER\rootshare\Movies\The Goonies (1985)\The Goonies (1985) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Goonies (1985),5.29,The Goonies,1985,tt0089218,The Goonies,1985,7.7,322690,"Adventure, Comedy, Family",114,KEEP,ok
\\TOWER\rootshare\Movies\The Grand Budapest Hotel (2014)\The Grand Budapest Hotel (2014) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Grand Budapest Hotel (2014),1.3,The Grand Budapest Hotel,2014,tt2278388,The Grand Budapest Hotel,2014,8.1,956421,"Comedy, Drama",99,KEEP,ok
\\TOWER\rootshare\Movies\The Hateful Eight (2015)\The Hateful Eight (2015) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Hateful Eight (2015),5.75,The Hateful Eight,2015,tt3460252,The Hateful Eight,2015,7.8,712947,"Crime, Drama, Mystery",168,KEEP,ok
\\TOWER\rootshare\Movies\The Imitation Game (2014)\The Imitation Game (2014) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Imitation Game (2014),2.1,The Imitation Game,2014,tt2084970,The Imitation Game,2014,8.0,869488,"Biography, Drama, Thriller",114,KEEP,ok
\\TOWER\rootshare\Movies\The Inventor Out for Blood in Silicon Valley (2019)\The Inventor Out for Blood in Silicon Valley (2019) WEBDL-720p.mkv,\\TOWER\rootshare\Movies\The Inventor Out for Blood in Silicon Valley (2019),1.35,The Inventor Out for Blood in Silicon Valley,2019,tt8488126,The Inventor: Out for Blood in Silicon Valley,2019,7.2,16126,"Documentary, Crime",119,KEEP,ok
\\TOWER\rootshare\Movies\The Irishman (2019)\The Irishman (2019) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Irishman (2019),8.39,The Irishman,2019,tt1302006,The Irishman,2019,7.8,465396,"Biography, Crime, Drama",209,KEEP,ok
